title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,dealer_stock_id,dealer_stock_ids,car_code,photo_count,all_image_urls,image_count,vin,registration_plate,body_type,fuel,transmission,dealer_comments,status_label,status_tooltip,price_badge_label,is_sold,matched_stock_no,matched_chassis,match_score,match_reason,match_status,mismatch_count,mismatch_fields,mismatch_messages
1998 Mitsubishi Pajero Mini X H53A Auto,"$10,400",10400,"61,157km",61157,https://www.carsales.com.au/cars/details/1998-mitsubishi-pajero-mini-x-h53a-auto/OAG-AD-25705796/,OAG-AD-25705796,OAG-AD-25705796,1998,MITSUBISHI,Pajero,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/u3tmxa6o0tgqf4919sme1s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1998 Mitsubishi Pajero Mini X H53A Auto,stock_tail4_match:1058,,2026-05-14T13:17:39,19981058,19981058,1261,19,"[""https://carsales.pxcrush.net/carsales/car/dealer/u3tmxa6o0tgqf4919sme1s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZW00H53A0000467,Check with seller,SUV,Petrol,Automatic,"1998 MITSUBISHI Pajero Mini | Petrol | 61,157 KM A compact and fun Mitsubishi Pajero Mini built for city driving, weekend use, and anyone wanting a small SUV with classic Pajero character. With petrol power, low kilometres for its age, and practical everyday features, this Pajero Mini is a unique little 4WD-style vehicle with great personality. Key Features: Petrol engine Air Conditioning Rear Wiper Windshield Wiper Fog Lights Power Windows Recently serviced and professionally detailed 6 months NSW registration included Why This Pajero Mini Stands Out: Compact SUV with classic Pajero styling Low kilometres for its age Easy to drive and park Great option for daily use, weekend drives, or unique car enthusiasts Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: [https:///](https:///) Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #MitsubishiPajeroMini #PajeroMini #CompactSUV #UsedCarsAustralia #PetrolCar Show more",,,,False,1058,H53A-0000467,100.0,stock_tail4_match:1058,identified,0,,
2013 Toyota Hiace DX Super LWB Auto 4WD,"$33,900",33900,"222,468km",222468,https://www.carsales.com.au/cars/details/2013-toyota-hiace-dx-super-lwb-auto-4wd/OAG-AD-24937831/,OAG-AD-24937831,OAG-AD-24937831,2013,TOYOTA,Hiace,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/3jkj1win68tjfgn0g9wjiwr6t.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2013 Toyota Hiace DX Super LWB Auto 4WD,stock_tail3_match:605,,2026-05-14T13:17:39,2013605,2013605,1187,22,"[""https://carsales.pxcrush.net/carsales/car/dealer/3jkj1win68tjfgn0g9wjiwr6t.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZDTRH2260011595,Check with seller,Van,Petrol,Automatic,"2013 TOYOTA Hiace 4WD DX | Extra Highroof | Ex-Ambulance | 222,468 KM 5-Year Extended Warranty Available! A reliable Toyota Hiace DX built for camper conversion, work, delivery, trades, business use, or anyone needing a tough and practical van. Known for its durability, easy maintenance, and strong everyday usability, this Hiace is ready to get back on the road and keep moving. Key Features: Petrol engine Automatic transmission Air Conditioning Apple CarPlay and Android Auto Reversing Camera Windshield Wiper Rear Wiper Recently serviced and professionally detailed 6 months NSW registration included Warranty & Coverage: 5 Years Comprehensive Mechanical and Electrical Extended Warranty Coverage of up to $5,000 per claim Unlimited claims and kilometers Car rental and accommodation included for breakdowns 1 Year FREE Roadside Assistance Simple, hassle-free claims process Valid across Australia Why This Hiace Stands Out: Toyota Hiace is one of Australias most trusted camper & commercial vans Strong reputation for reliability and long-term value Great option for trades, courier work, transport, or camper conversion plans Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES We work with over 30 leading Australian carriers and get the best delivery rates from us: Newcastle and Wollongong area $200 Canberra $300 Melbourne $450 Brisbane $550 Adelaide $1200 Tasmania $1400 Perth $1600 #AU #ToyotaHiace #HiaceVan #4x4 #WorkVan #Camper Show more",,,,False,605,TRH226-0011595,95.0,stock_tail3_match:605,identified,0,,
2008 Toyota Hiace Super LWB Auto 4WD,"$32,900",32900,"163,439km",163439,https://www.carsales.com.au/cars/details/2008-toyota-hiace-super-lwb-auto-4wd/OAG-AD-25508529/,OAG-AD-25508529,OAG-AD-25508529,2008,TOYOTA,Hiace,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/cxtx1y2b4wafxw0swhdrjtvw3.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2008 Toyota Hiace Super LWB Auto 4WD,stock_tail3_match:723,,2026-05-14T13:17:39,2008723,2008723,1247,23,"[""https://carsales.pxcrush.net/carsales/car/dealer/cxtx1y2b4wafxw0swhdrjtvw3.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZ8TRH2260005524,Check with seller,Van,Petrol,Automatic,"2008 TOYOTA Hiace 4WD Extra High Roof SLWB (Ex Ambulance) | Petrol | 163,439 KM 5-Year Extended Warranty Available! A reliable Toyota Hiace built for work, delivery, trades, transport, or business use. With petrol power, practical features, and Toyotas strong reputation for durability, this Hiace is a great choice for anyone needing a dependable van ready for everyday use. Key Features: Petrol engine Airbags Power Steering Fog Lights Power Windows Apple CarPlay and Android Auto Reversing Camera Windshield Wiper Rear Wiper Dual AC Controller Recently serviced and professionally detailed 6 months NSW registration included Warranty & Coverage: 5 Years Comprehensive Mechanical and Electrical Extended Warranty Coverage of up to $5,000 per claim Unlimited claims and kilometers Car rental and accommodation included for breakdowns 1 Year FREE Roadside Assistance Simple, hassle-free claims process Valid across Australia Why This Hiace Stands Out: Toyota Hiace is one of Australias most trusted commercial vans Great option for trades, courier work, delivery, transport, or business use Practical setup with dual AC, reversing camera, and modern connectivity Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #ToyotaHiace #HiaceVan #WorkVan #CommercialVan #UsedCarsAustralia Show more",,,,False,723,TRH226-0005524,95.0,stock_tail3_match:723,identified,0,,
1991 Toyota Hiace SWB Auto,"$37,900",37900,"137,631km",137631,https://www.carsales.com.au/cars/details/1991-toyota-hiace-swb-auto/OAG-AD-25532399/,OAG-AD-25532399,OAG-AD-25532399,1991,TOYOTA,Hiace,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/23iadlu2asx9o7k724hcdr9he.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1991 Toyota Hiace SWB Auto,stock_tail3_match:896,,2026-05-14T13:17:39,1991896,1991896,1302,32,"[""https://carsales.pxcrush.net/carsales/car/dealer/23iadlu2asx9o7k724hcdr9he.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZM0LH1190018886,Check with seller,Van,Diesel,Automatic,"1991 TOYOTA Hiace LH119 Part-Time Auto 4WD with Low Range | Extra High Roof Built-in Camper | 137,631 KM A rare and adventure-ready Toyota Hiace built-in camper with part-time 4WD and low range. This Extra High Roof Hiace is built for road trips, camping, touring, weekend escapes, and off-grid style travel. With diesel power, automatic transmission, and ready-to-use camper features, it is a practical van with classic Toyota reliability. Key Features: 2.8L Diesel engine Automatic transmission Part-time 4WD with Low Range Extra High Roof built-in camper setup Air Conditioning Apple CarPlay and Android Auto Ready Camper Van 115Ah Deep Cycle Battery 12V Dual Battery System Smart Isolator 200W Solar Panel Solar Charge Controller MPPT 2000W Pure Sine Wave Inverter 12V Water Pump Fridge Portable Toilet 6 months NSW registration included Why This Hiace Stands Out: Rare LH119 Hiace with part-time 4WD and low range Extra High Roof layout gives excellent camper space and headroom Built-in camper setup with battery, solar, inverter, fridge, water pump, and toilet Diesel engine with Toyotas strong reputation for durability Great choice for camping, touring, road trips, and weekend getaways Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #ToyotaHiace #HiaceCamper #4WDVan #CamperVan #DieselVan Show more",,,,False,896,LH1190018886,95.0,stock_tail3_match:896,identified,0,,
2000 Toyota Landcruiser Cygnus Auto 4x4,"$29,900",29900,"217,819km",217819,https://www.carsales.com.au/cars/details/2000-toyota-landcruiser-cygnus-auto-4x4/OAG-AD-25437171/,OAG-AD-25437171,OAG-AD-25437171,2000,TOYOTA,Land Cruiser,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/2plzb82wn186ff00rra20uudb.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2000 Toyota Landcruiser Cygnus Auto 4x4,stock_tail3_match:804,,2026-05-14T13:17:39,2000804,2000804,1289,31,"[""https://carsales.pxcrush.net/carsales/car/dealer/2plzb82wn186ff00rra20uudb.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZYUZJ1000105063,Check with seller,SUV,Petrol,Automatic,"2000 Toyota Land Cruiser V8 4WD VX Limited 8 Seater | Adjustable Suspension | Petrol | 217,819 KM A strong and comfortable V8 Land Cruiser VX Limited built for family use, touring, towing, weekend trips, and everyday driving. With 4WD capability, 8-seat practicality, adjustable suspension, and classic Toyota Land Cruiser reliability, this is a great option for anyone wanting a tough SUV with comfort and road presence. Key Features: V8 Petrol engine 4WD 8 Seater Height Adjustable Suspension Airbags Power Steering Fog Lights Sunroof Bluetooth Connectivity Power Windows Cruise Control Reversing Camera Parking Assist Camera Foldable Rear Seat Rear Wiper Alloy Wheels Electric Folding Mirrors Dual AC Controller Recently serviced and professionally detailed 6 months NSW registration included Why This Land Cruiser Stands Out: VX Limited package with premium comfort features Strong V8 petrol performance 4WD capability for touring, family trips, and outdoor use Practical 8-seat layout with foldable rear seats Adjustable suspension for added comfort and usability Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #ToyotaLandCruiser #LandCruiserVX #V8SUV #4WD #FamilySUV Show more",,,,False,804,UZJ100-0105063,95.0,stock_tail3_match:804,identified,0,,
1999 Mitsubishi Strada K74T Auto 4x4 Dual Cab,"$34,900",34900,"134,795km",134795,https://www.carsales.com.au/cars/details/1999-mitsubishi-strada-k74t-auto-4x4-dual-cab/OAG-AD-24984736/,OAG-AD-24984736,OAG-AD-24984736,1999,MITSUBISHI,Strada,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/2exe4klgo235auicizlnd014t.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1999 Mitsubishi Strada K74T Auto 4x4 Dual Cab,stock_tail3_match:824,,2026-05-14T13:17:39,1999824,1999824,1248,26,"[""https://carsales.pxcrush.net/carsales/car/dealer/2exe4klgo235auicizlnd014t.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZX000K741100900,Check with seller,Ute,Diesel,Automatic,"1999 MITSUBISHI Strada W-Cab 4WD Diesel Camper | Diesel | 134,795 KM A unique Mitsubishi Strada W-Cab 4WD diesel camper built for touring, camping, weekend escapes, and adventure use. With a practical camper layout, diesel power, 4WD capability, and useful onboard setup, this Strada is a great choice for anyone wanting a compact and capable camper with everyday usability. Key Features: Diesel engine 4WD W-Cab setup Power Windows Air Conditioning Airbags Over-Cab Style Bed Convertible Dinette With Table And Bench Seating Built-In Sink Mini Fridge Overhead Cupboards And Internal Storage 2000W Inverter 12V 170AH Battery 15A Solar Controller Recently serviced and professionally detailed 6 months NSW registration included Why This Strada Stands Out: Practical 4WD diesel camper setup Over-cab bed for comfortable sleeping space Convertible dinette with table and bench seating Built-in sink, mini fridge, storage, inverter, battery, and solar controller Great option for camping, touring, road trips, and weekend getaways Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #MitsubishiStrada #4WDCamper #DieselCamper #CamperVan #AdventureVehicle Show more",,,,False,824,K741100900,95.0,stock_tail3_match:824,identified,0,,
2021 Nissan Note e-POWER X E13 Auto,"$21,900",21900,"51,489km",51489,https://www.carsales.com.au/cars/details/2021-nissan-note-e-power-x-e13-auto/OAG-AD-25056824/,OAG-AD-25056824,OAG-AD-25056824,2021,NISSAN,Note,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/4zriksgmofl0oi08oipefhvfq.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Note e-POWER X E13 Auto,stock_tail3_match:945,,2026-05-14T13:17:39,2021945,2021945,1327,29,"[""https://carsales.pxcrush.net/carsales/car/dealer/4zriksgmofl0oi08oipefhvfq.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZM0000E13057943,Check with seller,Hatch,Hybrid,Automatic,"2021 NISSAN Note e-POWER X | Hybrid | 51,489 KM 5-Year Hybrid Battery Warranty! A smart and efficient Nissan Note X Hybrid built for city driving, daily commuting, and fuel-saving practicality. With modern safety features, smooth hybrid performance, excellent interior condition, and everyday comfort, this Note is a great choice for anyone looking for a reliable and economical hatchback. Key Features: Hybrid engine Air Conditioning Traction Control System Lane Departure Warning Front Vehicle Collision Warning Airbags Multi-Function Steering Wheel Power Windows Reversing Camera Rear Wiper Apple CarPlay and Android Auto Push Start and Keyless Entry Electric Folding Mirrors Interior in excellent condition without any tears or marks 6 months NSW registration included Warranty & Coverage: 5 Years Warranty: Hybrid Battery, Electrical and Mechanical Coverage of up to $5,000 per claim Unlimited claims and kilometers Car rental and accommodation included for breakdowns 1 Year FREE Roadside Assistance Simple, hassle-free claims process Valid across Australia Why This Note Stands Out: Excellent fuel-saving hybrid hatchback Great choice for daily use, city driving, and first-time buyers Modern safety features including Lane Departure Warning and Front Vehicle Collision Warning Clean interior, practical size, and easy to drive Ready for inspection with 6 months NSW registration included Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #NissanNote #HybridCar #UsedHybrid #FuelEfficient #Hatchback Show more",,,Around market price,False,945,E13-057943,95.0,stock_tail3_match:945,identified,0,,
1994 Mitsubishi Pajero Exceed NJ Auto 4WD,"$19,900",19900,"86,382km",86382,https://www.carsales.com.au/cars/details/1994-mitsubishi-pajero-exceed-nj-auto-4wd/OAG-AD-25415448/,OAG-AD-25415448,OAG-AD-25415448,1994,MITSUBISHI,Pajero,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/edj48uikzw0o35iwfdw6m46kz.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1994 Mitsubishi Pajero Exceed NJ Auto 4WD,stock_tail3_match:976,,2026-05-14T13:17:39,1994976,1994976,1214,28,"[""https://carsales.pxcrush.net/carsales/car/dealer/edj48uikzw0o35iwfdw6m46kz.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZR000V464028233,Check with seller,SUV,Diesel,Automatic,"1994 Mitsubishi Pajero 4WD | Sunroof & Dual Tone | Diesel | 86,382 KM A classic Mitsubishi Pajero 4WD built for weekend drives, touring, light adventure use, and anyone who appreciates a tough old-school diesel SUV. With low kilometres for its age, dual-tone styling, sunroof, and practical 4WD usability, this Pajero has plenty of character and road presence. Key Features: Diesel engine 4WD Sunroof Dual Tone exterior Airbags Power Steering Power Windows Windshield Wiper Rear Wiper Brake Assist Alloy Wheels Dual AC Controller Recently serviced and professionally detailed 6 months NSW registration included Why This Pajero Stands Out: Classic Pajero 4WD with strong SUV character Low kilometres for its age Dual-tone finish with sunroof Great option for weekend trips, touring, or everyday practical use Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #MitsubishiPajero #Pajero4WD #DieselSUV #Classic4WD #UsedCarsAustralia Show more",,,,False,976,V46-4028233,95.0,stock_tail3_match:976,identified,0,,
1996 Toyota Hiace Super Custom Auto,"$46,900",46900,"37,073km",37073,https://www.carsales.com.au/cars/details/1996-toyota-hiace-super-custom-auto/OAG-AD-25751349/,OAG-AD-25751349,OAG-AD-25751349,1996,TOYOTA,Hiace,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/efuc8acvgtmg1qrxyibbi4l1u.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1996 Toyota Hiace Super Custom Auto,stock_tail3_match:987,,2026-05-14T13:17:39,1996987,1996987,1323,25,"[""https://carsales.pxcrush.net/carsales/car/dealer/efuc8acvgtmg1qrxyibbi4l1u.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZX0LY1110006633,Check with seller,People Mover,Diesel,Automatic,"1996 TOYOTA Hiace Motorhome | Diesel | 37,073 KM 5-Year Extended Warranty Available! A low-kilometre Toyota Hiace diesel motorhome built for touring, camping, weekend escapes, and comfortable road trips. With a practical camper layout, over-cab double bed, bunk beds, bathroom, kitchen setup, solar panel, inverter, and 240V power outlets, this Hiace is a great option for anyone looking for a ready-to-enjoy motorhome with Toyota reliability. Key Features: Diesel engine Air Conditioning Power Windows Power Steering Windshield Wiper Reversing Camera Solar Panel 2000W Pure Sine Wave Inverter Dining Table Kitchen Sink Fridge 240V Power Outlets Over-Cab Double Bed Bunk Beds Bathroom Recently serviced and professionally detailed 6 months NSW registration included Warranty & Coverage: 5 Years Comprehensive Mechanical and Electrical Extended Warranty Coverage of up to $5,000 per claim Unlimited claims and kilometers Car rental and accommodation included for breakdowns 1 Year FREE Roadside Assistance Simple, hassle-free claims process Valid across Australia Why This Hiace Motorhome Stands Out: Very low kilometres for its age Toyota diesel motorhome with strong reliability Practical sleeping setup with over-cab double bed and bunk beds Camper layout includes dining table, kitchen sink, fridge, and bathroom Solar panel, inverter, and 240V outlets for camping support Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $160 #AU #ToyotaHiace #HiaceMotorhome #DieselMotorhome #CamperVan #Motorhome Show more",,,,False,987,LY1110003463,95.0,stock_tail3_match:987,identified,0,,
2000 Toyota MR2 Spyder Manual,"$19,900",19900,"91,323km",91323,https://www.carsales.com.au/cars/details/2000-toyota-mr2-spyder-manual/OAG-AD-25461738/,OAG-AD-25461738,OAG-AD-25461738,2000,TOYOTA,MR-S,,2026-05-14T13:17:39,,https://carsales.pxcrush.net/carsales/car/dealer/3clj9u1o2yjcbb634vz0aojn2.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2000 Toyota MR2 Spyder Manual,stock_tail3_match:994,,2026-05-14T13:17:39,2000994,2000994,1313,24,"[""https://carsales.pxcrush.net/carsales/car/dealer/3clj9u1o2yjcbb634vz0aojn2.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZY0ZZW300011412,Check with seller,Convertible,Petrol,Manual,"2000 TOYOTA MR-S S Edition | Petrol | 92,000 KM A fun and lightweight Toyota MR-S S Edition built for drivers who enjoy a sporty, responsive, and engaging roadster. With its petrol engine, aftermarket body kit, aftermarket exhaust, and RAYS alloy wheels, this MR-S has the right look and character for weekend drives, enthusiast ownership, or anyone wanting something different from the usual daily car. Key Features: Petrol engine S Edition package Air Conditioning Airbags Power Steering Windshield Wiper Aftermarket Body Kit Aftermarket Exhaust RAYS Alloy Wheels Recently serviced and professionally detailed 6 months NSW registration included Why This MR-S Stands Out: Lightweight Toyota sports roadster Enthusiast-style setup with body kit, exhaust, and RAYS wheels Great option for weekend drives or sporty daily use Clean, serviced, detailed, and ready for inspection Pricing: We offer the most competitive prices in Australia Price match available on similar listings Website: Location: Unit D3, 128 , , NSW Contact for Inspection: WhatsApp: https:/// Call: Open 7 days a week, from 8 am to 5 pm, including public holidays DOOR DELIVERY IS AVAILABLE TO ALL STATES Newcastle and Wollongong $200 | Canberra $300 | Melbourne $450 | Brisbane $550 | Adelaide $1200 | Tasmania $1400 | Perth $1600 #AU #ToyotaMRS #SportsCar #ToyotaRoadster #JDMCar #UsedCarsAustralia Show more",,,,False,994,ZZW30-0011412,95.0,stock_tail3_match:994,identified,0,,
